xflr5 v6.61

Plane name :        Plane Name
Polar name :        Estudio
Freestream speed :  83.340 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    3.000     0.000   0.354860   0.005970   0.005198   0.011168   0.000000  -0.000000  -0.100522   0.000000   0.000000   83.3400     1.0316
    3.500     0.000   0.397163   0.007485   0.005099   0.012584   0.000000  -0.000000  -0.111268   0.000000   0.000000   83.3400     1.0189
    4.000     0.000   0.439495   0.009172   0.005018   0.014190   0.000000  -0.000000  -0.122031   0.000000  -0.000000   83.3400     1.0084
    4.500     0.000   0.482002   0.011037   0.004995   0.016032   0.000000  -0.000000  -0.132867   0.000000   0.000000   83.3400     0.9999
    5.000     0.000   0.524607   0.013078   0.005006   0.018085   0.000000  -0.000000  -0.143748   0.000000   0.000000   83.3400     0.9927
    5.500     0.000   0.567242   0.015296   0.005034   0.020330   0.000000  -0.000000  -0.154651   0.000000   0.000000   83.3400     0.9865
    6.000     0.000   0.609793   0.017684   0.005074   0.022758   0.000000  -0.000000  -0.165526   0.000000   0.000000   83.3400     0.9808
    6.500     0.000   0.652244   0.020240   0.005132   0.025371   0.000000  -0.000000  -0.176365   0.000000   0.000000   83.3400     0.9757
    7.000     0.000   0.694589   0.022962   0.005201   0.028163   0.000000  -0.000000  -0.187165   0.000000   0.000000   83.3400     0.9710
    7.500     0.000   0.736824   0.025849   0.005279   0.031129   0.000000  -0.000000  -0.197924  -0.000000  -0.000000   83.3400     0.9664
    8.000     0.000   0.778903   0.028897   0.005375   0.034272   0.000000  -0.000000  -0.208621   0.000000   0.000000   83.3400     0.9621
    8.500     0.000   0.820817   0.032104   0.005480   0.037583   0.000000  -0.000000  -0.219252   0.000000   0.000000   83.3400     0.9579
    9.000     0.000   0.862493   0.035462   0.005615   0.041077   0.000000  -0.000000  -0.229785   0.000000   0.000000   83.3400     0.9538
    9.500     0.000   0.903947   0.038970   0.005773   0.044742   0.000000  -0.000000  -0.240224   0.000000   0.000000   83.3400     0.9497
   10.000     0.000   0.945128   0.042622   0.005954   0.048576   0.000000  -0.000000  -0.250545   0.000000   0.000000   83.3400     0.9455
   10.500     0.000   0.985923   0.046407   0.006173   0.052579   0.000000  -0.000000  -0.260697   0.000000   0.000000   83.3400     0.9413
   11.000     0.000   1.026289   0.050316   0.006423   0.056739   0.000000  -0.000000  -0.270655   0.000000   0.000000   83.3400     0.9369
   11.500     0.000   1.066174   0.054340   0.006699   0.061040   0.000000  -0.000000  -0.280388  -0.000000  -0.000000   83.3400     0.9322
   12.000     0.000   1.105493   0.058469   0.007004   0.065472   0.000000  -0.000000  -0.289857   0.000000   0.000000   83.3400     0.9273
   12.500     0.000   1.145451   0.062792   0.007327   0.070119   0.000000  -0.000000  -0.299701   0.000000   0.000000   83.3400     0.9232
   13.000     0.000   1.185855   0.067314   0.007665   0.074979   0.000000  -0.000000  -0.309821   0.000000   0.000000   83.3400     0.9197
   13.500     0.000   1.226600   0.072011   0.008010   0.080021   0.000000  -0.000000  -0.320118   0.000000   0.000000   83.3400     0.9164
   14.000     0.000   1.266980   0.076837   0.008362   0.085200   0.000000  -0.000000  -0.330252   0.000000   0.000000   83.3400     0.9130
   14.500     0.000   1.306543   0.081752   0.008715   0.090467   0.000000  -0.000000  -0.340019   0.000000   0.000000   83.3400     0.9091
   15.000     0.000   1.345671   0.086767   0.009072   0.095839   0.000000  -0.000000  -0.349590   0.000000   0.000000   83.3400     0.9051
   15.500     0.000   1.384088   0.091844   0.009463   0.101306   0.000000  -0.000000  -0.358849   0.000000   0.000000   83.3400     0.9007
   16.000     0.000   1.422521   0.097075   0.009856   0.106931   0.000000  -0.000000  -0.368167   0.000000   0.000000   83.3400     0.8965
   16.500     0.000   1.460331   0.102370   0.010274   0.112643   0.000000  -0.000000  -0.377220  -0.000000  -0.000000   83.3400     0.8920
   17.000     0.000   1.497710   0.107740   0.010714   0.118453   0.000000  -0.000000  -0.386098   0.000000   0.000000   83.3400     0.8874
   17.500     0.000   1.534759   0.113215   0.011154   0.124369   0.000000  -0.000000  -0.394860   0.000000   0.000000   83.3400     0.8828
   18.000     0.000   1.571038   0.118723   0.011630   0.130354   0.000000  -0.000000  -0.403308   0.000000   0.000000   83.3400     0.8779
   18.500     0.000   1.606247   0.124222   0.012145   0.136367   0.000000  -0.000000  -0.411309   0.000000   0.000000   83.3400     0.8726
   19.000     0.000   1.640619   0.129744   0.012695   0.142439   0.000000  -0.000000  -0.419000  -0.000000  -0.000000   83.3400     0.8671
   19.500     0.000   1.674041   0.135274   0.013261   0.148535   0.000000  -0.000000  -0.426319  -0.000000  -0.000000   83.3400     0.8614
   20.000     0.000   1.704794   0.140565   0.013868   0.154434   0.000000  -0.000000  -0.432454   0.000000   0.000000   83.3400     0.8547


